date,item,market,price_kes,unit
2024-01-01,Tomatoes,Wakulima,78,per kg
2024-01-01,Sukuma Wiki,Wakulima,25,per bundle
2024-01-01,Onions,Wakulima,110,per kg
2024-01-01,Maize,Wakulima,136,per tin
2024-01-01,Potatoes,Wakulima,90,per kg
2024-01-01,Cabbage,Wakulima,59,per piece
2024-01-02,Tomatoes,Wakulima,82,per kg
2024-01-02,Sukuma Wiki,Wakulima,25,per bundle
2024-01-02,Onions,Wakulima,112,per kg
2024-01-02,Maize,Wakulima,131,per tin
2024-01-02,Potatoes,Wakulima,80,per kg
2024-01-02,Cabbage,Wakulima,57,per piece
2024-01-03,Tomatoes,Wakulima,68,per kg
2024-01-03,Sukuma Wiki,Wakulima,26,per bundle
2024-01-03,Onions,Wakulima,117,per kg
2024-01-03,Maize,Wakulima,144,per tin
2024-01-03,Potatoes,Wakulima,80,per kg
2024-01-03,Cabbage,Wakulima,58,per piece
2024-01-04,Tomatoes,Wakulima,81,per kg
2024-01-04,Sukuma Wiki,Wakulima,25,per bundle
2024-01-04,Onions,Wakulima,120,per kg
2024-01-04,Maize,Wakulima,147,per tin
2024-01-04,Potatoes,Wakulima,83,per kg
2024-01-04,Cabbage,Wakulima,53,per piece
2024-01-05,Tomatoes,Wakulima,83,per kg
2024-01-05,Sukuma Wiki,Wakulima,27,per bundle
2024-01-05,Onions,Wakulima,106,per kg
2024-01-05,Maize,Wakulima,133,per tin
2024-01-05,Potatoes,Wakulima,92,per kg
2024-01-05,Cabbage,Wakulima,58,per piece
2024-01-06,Tomatoes,Wakulima,85,per kg
2024-01-06,Sukuma Wiki,Wakulima,32,per bundle
2024-01-06,Onions,Wakulima,120,per kg
2024-01-06,Maize,Wakulima,161,per tin
2024-01-06,Potatoes,Wakulima,88,per kg
2024-01-06,Cabbage,Wakulima,60,per piece
2024-01-07,Tomatoes,Wakulima,85,per kg
2024-01-07,Sukuma Wiki,Wakulima,31,per bundle
2024-01-07,Onions,Wakulima,127,per kg
2024-01-07,Maize,Wakulima,152,per tin
2024-01-07,Potatoes,Wakulima,94,per kg
2024-01-07,Cabbage,Wakulima,54,per piece
2024-01-08,Tomatoes,Wakulima,72,per kg
2024-01-08,Sukuma Wiki,Wakulima,27,per bundle
2024-01-08,Onions,Wakulima,106,per kg
2024-01-08,Maize,Wakulima,136,per tin
2024-01-08,Potatoes,Wakulima,78,per kg
2024-01-08,Cabbage,Wakulima,54,per piece
2024-01-09,Tomatoes,Wakulima,78,per kg
2024-01-09,Sukuma Wiki,Wakulima,27,per bundle
2024-01-09,Onions,Wakulima,111,per kg
2024-01-09,Maize,Wakulima,136,per tin
2024-01-09,Potatoes,Wakulima,81,per kg
2024-01-09,Cabbage,Wakulima,62,per piece
2024-01-10,Tomatoes,Wakulima,78,per kg
2024-01-10,Sukuma Wiki,Wakulima,29,per bundle
2024-01-10,Onions,Wakulima,108,per kg
2024-01-10,Maize,Wakulima,148,per tin
2024-01-10,Potatoes,Wakulima,80,per kg
2024-01-10,Cabbage,Wakulima,56,per piece
2024-01-11,Tomatoes,Wakulima,84,per kg
2024-01-11,Sukuma Wiki,Wakulima,30,per bundle
2024-01-11,Onions,Wakulima,115,per kg
2024-01-11,Maize,Wakulima,147,per tin
2024-01-11,Potatoes,Wakulima,92,per kg
2024-01-11,Cabbage,Wakulima,60,per piece
2024-01-12,Tomatoes,Wakulima,72,per kg
2024-01-12,Sukuma Wiki,Wakulima,25,per bundle
2024-01-12,Onions,Wakulima,110,per kg
2024-01-12,Maize,Wakulima,137,per tin
2024-01-12,Potatoes,Wakulima,80,per kg
2024-01-12,Cabbage,Wakulima,62,per piece
2024-01-13,Tomatoes,Wakulima,86,per kg
2024-01-13,Sukuma Wiki,Wakulima,28,per bundle
2024-01-13,Onions,Wakulima,123,per kg
2024-01-13,Maize,Wakulima,147,per tin
2024-01-13,Potatoes,Wakulima,97,per kg
2024-01-13,Cabbage,Wakulima,59,per piece
2024-01-14,Tomatoes,Wakulima,76,per kg
2024-01-14,Sukuma Wiki,Wakulima,28,per bundle
2024-01-14,Onions,Wakulima,121,per kg
2024-01-14,Maize,Wakulima,144,per tin
2024-01-14,Potatoes,Wakulima,91,per kg
2024-01-14,Cabbage,Wakulima,65,per piece
2024-01-15,Tomatoes,Wakulima,75,per kg
2024-01-15,Sukuma Wiki,Wakulima,26,per bundle
2024-01-15,Onions,Wakulima,124,per kg
2024-01-15,Maize,Wakulima,143,per tin
2024-01-15,Potatoes,Wakulima,78,per kg
2024-01-15,Cabbage,Wakulima,52,per piece
2024-01-16,Tomatoes,Wakulima,70,per kg
2024-01-16,Sukuma Wiki,Wakulima,30,per bundle
2024-01-16,Onions,Wakulima,120,per kg
2024-01-16,Maize,Wakulima,141,per tin
2024-01-16,Potatoes,Wakulima,78,per kg
2024-01-16,Cabbage,Wakulima,56,per piece
2024-01-17,Tomatoes,Wakulima,84,per kg
2024-01-17,Sukuma Wiki,Wakulima,29,per bundle
2024-01-17,Onions,Wakulima,124,per kg
2024-01-17,Maize,Wakulima,151,per tin
2024-01-17,Potatoes,Wakulima,77,per kg
2024-01-17,Cabbage,Wakulima,60,per piece
2024-01-18,Tomatoes,Wakulima,79,per kg
2024-01-18,Sukuma Wiki,Wakulima,29,per bundle
2024-01-18,Onions,Wakulima,109,per kg
2024-01-18,Maize,Wakulima,146,per tin
2024-01-18,Potatoes,Wakulima,79,per kg
2024-01-18,Cabbage,Wakulima,56,per piece
2024-01-19,Tomatoes,Wakulima,75,per kg
2024-01-19,Sukuma Wiki,Wakulima,32,per bundle
2024-01-19,Onions,Wakulima,122,per kg
2024-01-19,Maize,Wakulima,137,per tin
2024-01-19,Potatoes,Wakulima,86,per kg
2024-01-19,Cabbage,Wakulima,53,per piece
2024-01-20,Tomatoes,Wakulima,87,per kg
2024-01-20,Sukuma Wiki,Wakulima,33,per bundle
2024-01-20,Onions,Wakulima,116,per kg
2024-01-20,Maize,Wakulima,153,per tin
2024-01-20,Potatoes,Wakulima,92,per kg
2024-01-20,Cabbage,Wakulima,56,per piece
2024-01-21,Tomatoes,Wakulima,84,per kg
2024-01-21,Sukuma Wiki,Wakulima,30,per bundle
2024-01-21,Onions,Wakulima,125,per kg
2024-01-21,Maize,Wakulima,151,per tin
2024-01-21,Potatoes,Wakulima,81,per kg
2024-01-21,Cabbage,Wakulima,58,per piece
2024-01-22,Tomatoes,Wakulima,68,per kg
2024-01-22,Sukuma Wiki,Wakulima,32,per bundle
2024-01-22,Onions,Wakulima,122,per kg
2024-01-22,Maize,Wakulima,151,per tin
2024-01-22,Potatoes,Wakulima,82,per kg
2024-01-22,Cabbage,Wakulima,52,per piece
2024-01-23,Tomatoes,Wakulima,82,per kg
2024-01-23,Sukuma Wiki,Wakulima,32,per bundle
2024-01-23,Onions,Wakulima,106,per kg
2024-01-23,Maize,Wakulima,142,per tin
2024-01-23,Potatoes,Wakulima,78,per kg
2024-01-23,Cabbage,Wakulima,60,per piece
2024-01-24,Tomatoes,Wakulima,80,per kg
2024-01-24,Sukuma Wiki,Wakulima,26,per bundle
2024-01-24,Onions,Wakulima,114,per kg
2024-01-24,Maize,Wakulima,144,per tin
2024-01-24,Potatoes,Wakulima,81,per kg
2024-01-24,Cabbage,Wakulima,62,per piece
2024-01-25,Tomatoes,Wakulima,75,per kg
2024-01-25,Sukuma Wiki,Wakulima,26,per bundle
2024-01-25,Onions,Wakulima,115,per kg
2024-01-25,Maize,Wakulima,148,per tin
2024-01-25,Potatoes,Wakulima,80,per kg
2024-01-25,Cabbage,Wakulima,55,per piece
